Date,Open,High,Low,Close,Adj Close,Volume
2016-03-17,1135.550049,1152.000000,1104.000000,1108.050049,1081.248535,4138764
2016-03-18,1111.400024,1133.000000,1104.000000,1129.300049,1101.984497,4859516
2016-03-21,1130.000000,1155.849976,1128.050049,1151.250000,1123.403564,3940026
2016-03-22,1142.050049,1174.000000,1136.000000,1168.099976,1139.846069,3440836
2016-03-23,1162.099976,1167.699951,1143.650024,1162.750000,1134.625366,2117350
2016-03-28,1162.750000,1170.250000,1137.300049,1143.349976,1115.694580,3943656
2016-03-29,1135.250000,1142.000000,1120.650024,1125.750000,1098.520386,3752026
2016-03-30,1128.250000,1131.349976,1110.150024,1115.300049,1091.231079,4842266
2016-03-31,1111.000000,1118.949951,1098.000000,1105.599976,1081.740356,9556036
2016-04-01,1100.000000,1117.800049,1092.250000,1113.400024,1089.372070,3894156
2016-04-04,1122.500000,1124.250000,1095.599976,1103.699951,1079.881470,3275522
2016-04-05,1102.000000,1111.000000,1085.500000,1103.449951,1079.636841,4368286
2016-04-06,1112.349976,1112.349976,1091.199951,1102.050049,1078.267090,2913779
2016-04-07,1100.000000,1100.000000,1065.500000,1070.849976,1047.740356,4883634
2016-04-08,1071.800049,1082.849976,1068.150024,1079.550049,1056.252686,1944688
2016-04-11,1083.949951,1084.699951,1060.150024,1079.800049,1056.497314,3737043
2016-04-12,1085.000000,1091.949951,1076.050049,1090.500000,1066.966187,1864121
2016-04-13,1098.099976,1117.449951,1093.650024,1114.949951,1090.888672,3361554
2016-04-18,1114.949951,1139.400024,1093.449951,1132.400024,1107.962036,3916572
2016-04-20,1132.400024,1158.650024,1132.400024,1140.000000,1115.397949,4669646
2016-04-21,1145.000000,1157.449951,1140.199951,1150.099976,1125.280151,6522775
2016-04-22,1141.000000,1152.050049,1121.949951,1131.900024,1107.472900,2628319
2016-04-25,1120.000000,1127.500000,1106.300049,1112.000000,1088.002319,1859499
2016-04-26,1104.000000,1131.849976,1103.050049,1127.300049,1102.972168,2511483
2016-04-27,1122.400024,1128.500000,1113.099976,1121.500000,1097.297241,1866265
2016-04-28,1121.000000,1126.400024,1082.050049,1085.550049,1062.123169,5791623
2016-04-29,1084.800049,1102.250000,1074.199951,1088.449951,1064.960449,4202421
2016-05-02,1091.449951,1097.000000,1078.550049,1091.900024,1068.336060,2394549
2016-05-03,1097.000000,1116.550049,1095.050049,1099.599976,1075.869873,3372825
2016-05-04,1099.000000,1138.000000,1098.000000,1129.900024,1105.516113,4419894
